year,ordinary_taxes,special_taxes,taxes,environmental_taxes,royalties,area_fees,royalties_and_area_fees,net_cash_flow_from_SDFI,equinor_dividend,state_net_cash_flow
1971,0,0,0,0,0.1,0,0.1,0,0,0.1
1972,0,0,0,0,0.29,0,0.29,0,0,0.29
1973,0,0,0,0,0.45,0,0.45,0,0,0.45
1974,0,0,0,0,0.71,0,0.71,0,0,0.71
1975,0,0,0,0,1.11,0,1.11,0,0,1.11
1976,5.78505107252298,0.0202451481103166,5.8052962206333,0,3.60363636363636,0.501067415730337,4.1047037793667,0,0,9.91
1977,8.05219730941704,3.44618834080717,11.4983856502242,0,3.07067264573991,0.270941704035874,3.34161434977578,0,0,14.84
1978,8.07019638648861,3.20953652788688,11.2797329143755,0,5.35511390416339,0.225153181461115,5.58026708562451,0,0,16.86
1979,13.4880952380952,5.92063492063492,19.4087301587302,0,6.38095238095238,0.21031746031746,6.59126984126984,0,0,26
1980,34.6484958802305,17.3207523291507,51.9692482093812,0,12.7205282998546,0.220223490764177,12.9407517906188,0,0,64.91
1981,43.7280294939,25.5386390741685,69.2666685680686,0,16.814574076617,0.218576791877652,17.0331508684947,0,1.805634367685e-4,86.3
1982,44.8828402366864,26.9070179498198,71.7898581865062,0,17.1847905854352,0.226861921919937,17.4116525073551,0,1.09848930613864,90.3
1983,41.158872824031,25.6519956400474,66.8108684640785,0,22.1613576764018,0.216899624915847,22.3782573013176,0,1.02087423460392,90.21
1984,50.831825884823,30.7159203159368,81.5477462007598,0,26.9450544891022,0.232906418716257,27.1779609078184,0,2.20429289142172,110.93
1985,58.3987057105526,34.8453554684498,93.2440611790024,0,31.131338098532,0.586423795250173,31.7177618937822,22.3403366382292,1.89851356544462,104.52
1986,45.4838623342281,26.2685860811731,71.7524484154012,0,21.4752786569975,0.520326134861172,21.9956047918586,31.4298008734324,3.27174766617252,65.59
1987,18.0914852566436,8.07107875257857,26.1625640092222,0,19.0547421429438,0.615977429923553,19.6707195728674,27.1511697609513,2.20788617886179,20.89
1988,12.4987705817783,2.61233809001098,15.1111086717892,0,13.3565532381998,0.448386388583974,13.8049396267838,22.256048298573,0,6.66
1989,11.2279248890406,3.59470194605667,14.8226268350973,0,16.934833731649,0.518176169341072,17.4530099009901,1.7543632639126,0,34.03
1990,27.261458394246,10.9411788784282,38.2026372726741,0,18.6747383193965,0.568773755920706,19.2435120753172,16.1902110987662,1.7636395532425,75.4
1991,31.7689716500722,14.2527860961212,46.0217577461934,1.7131260925743,18.907836132857,1.2309128220719,20.1387489549289,12.4339114793139,3.17245572698944,83.48
1992,15.5148978855925,14.9134338633011,30.4283317488936,3.93312309457466,16.6870342566792,1.260405835109,17.9474400917882,7.43721553843632,2.87388952630716,62.62
1993,12.7835669426206,18.9988809591778,31.7824479017985,4.52838566942621,15.656928347131,1.10268484156437,16.7596131886954,0.317046817013988,2.49250642306594,55.88
1994,12.1218564279012,17.4249257116046,29.5467821395058,4.96883406318423,12.8155888332812,0.270108695652174,13.0856975289334,0.0097161401313732,2.08897012824523,49.7
1995,14.8469580119966,20.3951909843941,35.2421489963906,4.83745423385526,11.1229311105918,1.04348367998754,12.1664147905793,17.5029264366025,3.05105554257225,72.8
1996,18.2540079558138,23.6714449245915,41.9254528804052,5.11810062101136,11.5712780814469,2.12840998197064,13.6996880634176,64.1993827089832,3.39737572618264,128.34
1997,27.7951100550873,35.1400248627233,62.9351349178106,5.4606830587921,11.1618299788652,1.10721046574917,12.2690404446144,72.5039312948304,2.87121028395247,156.04
1998,16.0613593696884,19.440094006595,35.5014533762834,5.7060325013449,6.63553795061942,0.931272569900515,7.56681052051994,25.75036896142,5.19533464043172,79.72
1999,9.57856714198654,10.6349759007869,20.2135430427734,5.63821434115851,5.5707839948521,0.969959596869035,6.54074359172114,44.5640862871325,0.233412737214474,77.19
2000,36.668417672975004,55.0352451922153,91.7036628651903,5.09687827423726,5.7927435062959,0.204075861324892,5.9968193676208,164.295613952173,2.84702554077841,269.94
2001,67.4539709247928,104.627266224502,172.081237149295,4.6558124873208,4.03601355032945,1.59911379281494,5.63512734314439,204.060409130602,9.34741388963847,395.78
2002,52.0632817282624,83.9270606354034,135.990342363666,4.82328385105581,2.11378973552247,0.715806069529199,2.82959580505166,119.757937665294,8.07884031493245,271.48
2003,57.6525410285133,94.3886355739911,152.041176602504,4.78519691961043,1.19943090327932,0.720284876642932,1.91971577992225,105.666470976641,8.0374397213221,272.45
2004,65.8442005743643,107.424393104198,173.268593678562,5.04616948145011,1.09341297014195,0.756391678089832,1.84980464823179,122.251969806706,7.96346238505061,310.38
2005,90.8417249005308,152.355211675387,243.196936575918,4.94261345600154,0.530988016759342,0.330392543761368,0.86138056052071,145.434315328659,12.0047540789008,406.44
2006,111.473425437143,190.742940568545,302.216366005687,4.86530812809678,0.0600126112716783,3.29783587654842,3.3578484878201,179.356696098771,17.9937812796249,507.79
2007,97.6374637712974,161.471855594709,259.109319366007,5.38432567672113,0,1.0606661324522,1.0606661324522,154.52885481921,19.4568340056105,439.54
2008,118.806281219128,201.800570549463,320.606851768591,4.92844969460483,0,2.46498069687219,2.46498069687219,205.706294049106,22.6634237908262,556.37
2009,82.5731573939716,139.275155460055,221.848312854027,3.03703162591118,0,1.97366776750196,1.97366776750196,128.004974112534,20.7960136400258,375.66
2010,77.6894237923219,127.803922236905,205.493346029227,2.8867768215199,0,1.81314939430321,1.81314939430321,137.409598158316,16.9271295966341,364.53
2011,100.193328088254,163.516054389191,263.709382477445,2.84920254842434,0,1.94257989481336,1.94257989481336,163.621058707829,17.0977763714884,449.22
2012,107.647799045724,179.241119239007,286.88891828473,2.82910605512753,0,2.23442921693221,2.23442921693221,186.79502059507,17.4225258481401,496.17
2013,94.117330169519,155.035544294849,249.152874464368,3.99625858677166,0,2.10199244972519,2.10199244972519,153.687796194731,17.8310783044041,426.77
2014,78.1295309110977,128.776477341273,206.906008252371,5.57025154972599,0,1.86891795115315,1.86891795115315,137.320449901819,27.5543723449311,379.22
2015,47.9772479439188,78.0187807839454,125.996028727864,5.99518109550755,0,1.88496368926256,1.88496368926256,112.679750750269,18.6940757370965,265.25
2016,19.2434174542102,30.0739040871878,49.317321541398,6.12977153094639,0,1.68424865368117,1.68424865368117,79.756092656317,12.8625656176574,149.75
2017,27.837451153471,48.6060533731633,76.4435045266343,6.08967616754719,0,1.10366399503819,1.10366399503819,103.734320180524,9.86883513025656,197.24
2018,44.2099912734749,82.3333656892162,126.54335696269101,5.95699233739376,0,2.04187297526688,2.04187297526688,136.149336903638,17.1884408210106,287.88
2019,48.4598211519449,101.953668039327,150.413489191272,6.05142171554013,0,1.69565996683818,1.69565996683818,108.711520850686,22.5979082756634,289.47
2020,18.6139503861456,12.9802393634449,31.5941897495904,6.23469955534753,0,1.57815136906155,1.57815136906155,62.7554451673297,16.7275141586707,118.89
2021,35.8532674045719,55.2576790963158,91.1109465008877,5.52540254227637,0,0.998789202933451,0.998789202933451,196.825605306737,11.1548412537689,305.615584806603
